,0,0,0,0
0,0.00314348131205105,0.003830779891207801,0.0035108530283226324,0.003316038853211278
1,0.0031439127952623542,0.003831329625518506,0.00351134797452063,0.0033164809267191855
2,0.0031452048060647618,0.003832955706430891,0.0035128270360328577,0.003317814116064769
3,0.0031473565390171725,0.003835660595433593,0.003515303788773812,0.0033200324383252672
4,0.0031503617142769787,0.003839426762561066,0.003518781387254748,0.003323132291000761
5,0.0031542187348760856,0.003844249363881734,0.0035232784200666493,0.0033271072654437557
6,0.0031589296020939394,0.0038501240751918904,0.0035288112625014374,0.003331946576897199
7,0.0031644952765777583,0.0038570518373829297,0.003535401369319604,0.0033376571460354935
8,0.0031709238371636743,0.0038650380515713417,0.003543085221944968,0.003344227341224828
9,0.003178221128687175,0.003874100241309061,0.003551887833191613,0.0033516477227590862
10,0.0031864021216470658,0.0038842490913525017,0.003561856716320053,0.0033599282757902633
11,0.0031954855895232116,0.0038955115772498407,0.0035730303134841475,0.003369065979508305
12,0.0032055037350583178,0.003907916667677615,0.0035854768150870363,0.0033790577247533103
13,0.0032164813735955566,0.003921516416393573,0.0035992561148488807,0.0033899330493097003
14,0.0032284517386806854,0.0039363406652815,0.003614426491291291,0.003401698552813788
15,0.0032414509660628156,0.0039524515139706205,0.003631110994297676,0.0034143368749357966
16,0.0032556176789946658,0.003969900445450571,0.003649366763413778,0.0034280484546700017
17,0.003270949502693325,0.003988765537912172,0.003669270516104398,0.0034425727811863128
18,0.0032873252776932666,0.004009396856023092,0.003690913003392435,0.0034584374064770417
19,0.003305700214797579,0.004031039096225795,0.0037143146035178358,0.0034749314765881146
20,0.0033247562837933065,0.004054861312013748,0.0037396252374358886,0.0034929436677586185
21,0.0033457654215179686,0.004080678628028063,0.003768184115772384,0.00351316461027601
22,0.003368548160237654,0.0041085010213214495,0.003797334676525999,0.0035340984978249434
23,0.0033926869745689076,0.004139246950971278,0.0038306406953930614,0.003556983795585426
24,0.0034200819813666643,0.004172622492233028,0.003866994874464701,0.0035802097527364257
25,0.00344940845748382,0.0042079001539591585,0.003903536804472987,0.003607466791652217
26,0.0034800535225357,0.004245156492077221,0.00395160954445886,0.003639589849402963
27,0.0035159674915198075,0.004282039668014953,0.0040059246259854485,0.0036632469499651744
28,0.00355690296171014,0.004330807389415935,0.004044968119072312,0.0036980622654871646
29,0.0035951723906476165,0.00438277650180111,0.004095395534503537,0.003743588050453402
30,0.0036291962910879193,0.004448093312518565,0.004150465440354367,0.0037839059497095434
31,0.0036961660181924184,0.004487490075922371,0.0042174265791549,0.0038306632959593094
32,0.0037637505419155838,0.004581447573845994,0.004281197942205654,0.003927644428164579
33,0.0038059207975821695,0.004703315050653739,0.004352429298831201,0.003944998144300655
34,0.0038690269780863712,0.004707749903480321,0.0044160775522523645,0.003985554242903568
35,0.00393514938081609,0.004806529145584244,0.004546756811622047,0.004099461763670925
36,0.004047444505115685,0.004963877276908808,0.004539186572333232,0.004139057773079014
37,0.004154828064901448,0.005035369951796542,0.004720372495679978,0.004254568059071468
38,0.004280470530905789,0.005153315398892043,0.004879054894697097,0.0043178688989319895
39,0.004252227245062438,0.005479821111361644,0.004851649655274887,0.004567851549964883
40,0.004600787765290868,0.005471753530946844,0.005033469399884528,0.004609788606935864
