,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1.1498836578477465,0.706935083225127,0.816664843480981,0.9776032507778476,1.0177739441766986,0.8128088197724977,0.8704033671057151,0.782540419246111,1.0704003298595426,0.9082961470337125,0.7428183062151882,0.6687157019781165,7.192265549720313,6.984223183954101,1.2418909117955546,2.236526362030208,6.8912480152545434,2.1508534361548053,4.858521728732441,1.7367247216331363,1.3599294674909266,1.2132422396969917,0.8183322288613412,1.1102516780836262,1.518381679707538,1.0142236240490499,0.930591682962078,1.3591481892739161,1.5634736559799867,2.506723862052294,6.724271502964022,5.4754199394265965,8.91000835336119,6.246527121914862,9.806829182418564,7.447179059772288,4.01979530537921,2.366232532103873,1.5873971437668228,1.5395295324379479,1.3476571612092494,1.530185609583991,1.2624242285832974,1.1460884972858438,1.2147326222710428,1.0735921269194142,1.008663598524913,0.9916749150686885,0.6741873636041988,2.048835038382704,1.4803502096092946,1.2520349186528137,0.9042675872578718,0.47874229823738756,1.437519322262007,4.716403501456268,1.2158587792326192,0.7606050618966178,0.8114805455912272,1.0891336330571595,1.0898147251322412,1.0837338381648935,1.3278599884793247,0.42482326320175035,0.6386328851526363,1.2237051132648853,1.238190399618306
1,1.1501048205737645,0.7070339752449379,0.8167805999340062,0.9777128228759475,1.0179255943082859,0.8129099418019028,0.8705913987346562,0.7826833970849094,1.0705971456804486,0.9084716320458417,0.7430473979753911,0.6688264987437867,7.193175501061997,6.98570121150047,1.2421007079922874,2.2370542942951426,6.893090963483364,2.1515363875310554,4.859656567392444,1.7375692740731332,1.3622671061485534,1.2134437393992121,0.8184114937560105,1.1105802683811414,1.5186194246066853,1.0146253599762292,0.9307717068906489,1.3593592919290258,1.5637109832292981,2.507465003963662,6.725829585275527,5.479104238383552,8.913091347061185,6.251341677912766,9.810636022146856,7.449033824857823,4.0210718474460165,2.366830390067149,1.5876663314394783,1.5400434211772218,1.3478866225586377,1.530397487699195,1.263186114661366,1.1462289161659995,1.2149957929108381,1.0738519568798726,1.0088205586571835,0.9918658978365755,0.6742628372418689,2.0494450419576573,1.4806777515850604,1.2522510717310764,0.904577634738941,0.4788261103259785,1.4377163917006641,4.718408324095157,1.216080207051449,0.7608072531075768,0.8118012265727685,1.0892604527444778,1.0904202903402958,1.0839520115504182,1.3281091663113946,0.42501655039862596,0.6390008872435949,1.2239109725789465,1.2383927791249516
2,1.1507668404380191,0.7073195314930554,0.8171459869435129,0.9780860027170282,1.0183800199274435,0.81321907126382,0.8711596290868642,0.7831310199827958,1.0711947820624135,0.9089872154066426,0.7436570535079569,0.669174636237914,7.195936872391396,6.9899493765955585,1.242861643452466,2.2387009558722575,6.898526181654011,2.1535506771391484,4.863024604384895,1.7400443628005806,1.3691530969897638,1.2140846696952614,0.8186527025408257,1.1115733437368616,1.5193360809713035,1.0157610757329512,0.9313146123650251,1.359999387961349,1.564409745301955,2.509647337342224,6.7304317936702285,5.489544550352736,8.922359834493555,6.260319411645899,9.82228995960559,7.454630805741566,4.024797300029869,2.3685920600178463,1.5884462206442043,1.5414637625170844,1.3485773466264168,1.531014542118126,1.2647084856145914,1.1466486195325583,1.215818104495957,1.0745946471400443,1.009291408658769,0.9924450596544363,0.6745019270133086,2.051264857700658,1.481619207162347,1.2528682561998203,0.9054682258663675,0.47903383034158026,1.4383094360432351,4.724499924165459,1.2167450753939055,0.7614297855094709,0.8127378479862486,1.0896553378158291,1.0920655588467094,1.084587748689504,1.3288465819776059,0.4255481202858866,0.6400114753781839,1.2245603726469212,1.2390141506552403
3,1.1518348044846833,0.7077889994407949,0.8177584440270855,0.9786893424383722,1.0191152204935487,0.8137413897042918,0.8720887981266711,0.7838271066330564,1.0721721779051778,0.9098218125519089,0.744602731783002,0.669745018314603,7.20054575473135,6.996837045528175,1.244102469534209,2.2414057605265203,6.907151706680993,2.1569401441727756,4.86865055950531,1.7442421487575597,1.3803731069460934,1.2151330027247607,0.8190037082673323,1.1132325316612872,1.520538594526646,1.0174894958733491,0.9322142158383102,1.3610681094450263,1.5655758116409582,2.513377192320701,6.738110852228551,5.505677034392645,8.93783021159044,6.272665010595909,9.841531231860944,7.463906416389001,4.031021112710898,2.3715122555258925,1.5897482986202525,1.5436543452054001,1.349733640416202,1.5320479360234212,1.2668688120410125,1.1473558261190813,1.2171580243341138,1.075756974175869,1.010088516639475,0.9934054189664773,0.6748963937058314,2.054305612816396,1.4831175030272379,1.253911929575643,0.9068773513968168,0.4793633052121508,1.43929617568788,4.73473672518175,1.2178484880061569,0.7623228857340753,0.8142135603110593,1.0903153261781262,1.0944311161334372,1.0856484869371898,1.3300853818709517,0.4264578148706297,0.6415206797231326,1.22565152284868,1.240050584641283
4,1.1533199933858138,0.70843200416098,0.8186010989712641,0.9795313938411312,1.0201353840657803,0.8144807670838938,0.8733639553459956,0.7847644390406231,1.073522575577452,0.9109710433345435,0.745821864558792,0.6705740810045037,7.206903062542616,7.006264944564768,1.245796995110458,2.2452181948212195,6.918858416736687,2.161559620732265,4.876553252202548,1.75003409401939,1.3954898064589658,1.2165708167230032,0.8195118685389958,1.115519983519242,1.5222244783017604,1.0197375021473352,0.9334664343880851,1.3625621984191192,1.5672143622148713,2.5186983663747116,6.74878930247301,5.526496669747382,8.95944022233207,6.288380022720111,9.868471001084131,7.477046151246645,4.039773137133933,2.375613551203869,1.5915822527512822,1.5464878485145603,1.3513756311519192,1.5335216070138562,1.2696348784832685,1.148342789124631,1.2190618077709687,1.0773096494373182,1.0111901675718709,0.994752154398819,0.6754476706575945,2.058570436092926,1.4851259615819001,1.2553900788242984,0.9087506967267115,0.479840659243164,1.440679092850149,4.748975333310614,1.2193596612235373,0.7635305715292241,0.816194316666392,1.0912392240648772,1.0973441941875488,1.0871214272753378,1.3318023731813071,0.4276430796720317,0.6434237104275953,1.227198389560115,1.2415152785923784
5,1.1551976627981269,0.7092692072343939,0.8197177625789638,0.9806042997431557,1.021453586899738,0.8154228928356354,0.8749695704122288,0.7859225563545372,1.0752289612809403,0.9124305192781939,0.7473067051059372,0.6716167211543439,7.21493567759016,7.018061937261104,1.248003925072231,2.250137465571339,6.933201094831894,2.1674048209950594,4.886749242761461,1.757558676988228,1.4143451748312306,1.2184353350738797,0.8200832060109856,1.1184584897050314,1.5244076781566451,1.0224370753063208,0.9350794096511005,1.3644734756217425,1.569331276368212,2.525780386239068,6.7624555657662,5.551532610426615,8.98731016458864,6.307437147185636,9.902692628806479,7.494045712906545,4.051036725421348,2.380834043620575,1.5939440024492653,1.5498729050084714,1.3535211264504807,1.535434009166972,1.2729865914152918,1.1496081090714916,1.2214741976748678,1.0792180368988842,1.0126169138180265,0.9964918121940535,0.6761569601876808,2.0640939127726945,1.4875655659242402,1.2572940156814978,0.911035590649773,0.4804494965114589,1.4424668202417588,4.767383068622606,1.2212901167925792,0.7650041556402042,0.8186070518157197,1.092437198616901,1.1007713767731937,1.0890155312051748,1.3340107483117774,0.4292173430991153,0.6456925390710821,1.2292224747109854,1.2433986718032688
6,1.1574945493838007,0.7102844659232184,0.8210911440420959,0.9818591416436364,1.0230731298676354,0.8165988848298874,0.8769138281312675,0.787291190388223,1.0772800897102346,0.9141972724135934,0.7490520165629068,0.6728801861448561,7.2245664196913,7.032317319966495,1.250628563760688,2.256199043751725,6.950050406274539,2.174387853028921,4.899291469574328,1.76672507666712,1.4366100723137858,1.2206686036930745,0.8207071073406518,1.1220140339321796,1.5270832934454444,1.025582848707409,0.9370377909988593,1.3668169390397864,1.5719467646951575,2.5347709920701424,6.779092023525637,5.58048163294452,9.021271955841259,6.329960015870631,9.944253536555573,7.514927357606926,4.064833946181971,2.3871671397145993,1.596843587986525,1.5537786342549869,1.356207147793888,1.5378056056970426,1.2768739119496955,1.1511668427033643,1.2244349883772823,1.0814801481798766,1.0143568620983077,0.9986192051286338,0.6770133239602125,2.070895332165669,1.490426219462773,1.2596419791963658,0.9137347000055972,0.4812088306990173,1.4446721105938725,4.789911276394857,1.2236031408682924,0.7667683991386776,0.8214521645446515,1.0939061173690177,1.1046494128234996,1.091331592206527,1.3367280559124814,0.43106132867917113,0.6482896191760316,1.2317500761679891,1.2457209977214492
7,1.1601976132445588,0.7114663925742001,0.822707705328553,0.9833259855258163,1.0249731614184903,0.8179916414835703,0.8792152297471291,0.788868748512722,1.0797125403195513,0.916269701328317,0.7510121487282037,0.6743829751381796,7.235737998215741,7.048832139620206,1.2536853432709716,2.263437525227596,6.969120514633358,2.182548068076529,4.914139390899919,1.7775655411047524,1.4621562351625297,1.2233166068162449,0.8213757037746778,1.1261898084716406,1.5302694378815844,1.029171362368924,0.9393630875855067,1.3695970664315718,1.575053236345946,2.5458810264642695,6.7986473138274155,5.613091495617777,9.06159038052257,6.355951301313909,9.993025703347904,7.5399263694149266,4.081174512963832,2.3945730745460376,1.6002660789984566,1.5581848302289771,1.3594451725408512,1.5406713916589272,1.2812952721799409,1.1530119493098576,1.227949176016554,1.0840934575206715,1.0164362765896982,1.0011454083340556,0.6780305482202802,2.078980736647304,1.4936662265256213,1.2624554105587762,0.9168250417708854,0.48214317088679953,1.4472958275050134,4.816564935932351,1.226307138413774,0.7688167431779547,0.8247088548385249,1.0956611658165365,1.1089931855583715,1.094109346842655,1.339954896263551,0.4332400226660874,0.6512383433448756,1.2348054724104869,1.248482126872483
8,1.1633041113064533,0.7128269788467607,0.8246360519626802,0.9849196378023327,1.0271600592058325,0.8196393952171965,0.881838912529398,0.7906315134405407,1.0824513983257325,0.9186435829740827,0.7532353295646679,0.676126482231503,7.248206408176818,7.067699025856725,1.2571749599993511,2.271877447898926,6.990397156041036,2.1919569377463373,4.931509031771649,1.79009175841085,1.4908546254701633,1.226387526885948,0.8220548710606395,1.1309905204876327,1.533970047191369,1.033216339118776,0.9420346801351345,1.3727952469085367,1.5786902589904779,2.559196005061383,6.821061310416452,5.64937031982113,9.10820697309626,6.385724212876109,10.04892240530181,7.569180127887,4.100154436908917,2.4029934126993577,1.6042257034984886,1.5630890930843122,1.363293547157616,1.5440446911735843,1.286220058600388,1.1551477754891528,1.2319700276739383,1.087061925222063,1.0188371612963503,1.0040763349204966,0.6792008269384663,2.0883826226713027,1.4972823888179192,1.265748965720072,0.9203054672665381,0.4832713831841045,1.4503540811362663,4.847524145841698,1.2293646385457426,0.7711192593469813,0.8283732355193694,1.0977271171629408,1.1138246901484408,1.097361921980345,1.3437400733610543,0.43563882635631695,0.6545540302876783,1.2384411724714657,1.2516986648454127
