particle_4um_00010.npy,particle_4um_00011.npy,particle_4um_00012.npy
0.3845559444609825,1.4072245881671137,0.958770860851819
0.4170830086085491,1.3775960668973273,0.9420242821999608
0.4053281788745019,1.3858083203510532,0.9489483484794304
0.43431268977285026,1.3991733598335203,0.9330068933326859
0.4505762197464016,1.4160809390993054,0.9112685441276918
0.4283547627454489,1.4217167986553652,0.9043444770343728
0.44961006947387516,1.4471586776971073,0.9069208741098191
0.42577836183462403,1.4507012176558085,0.9233454049791127
0.3988871760987306,1.4358869593847963,0.8996747572823628
0.3803692924016465,1.450218144027395,0.8835722748573548
0.3372145680073697,1.4574642483767335,0.8884030196697519
0.32143410764558433,1.4635831808101145,0.8755210333416699
0.3236884591730917,1.5167212733173991,0.8858266224455283
0.3083910734987064,1.5463497816544574,0.909658295979798
0.2750588727286212,1.5212299595464855,0.9294643476368525
0.24559127208027826,1.4977203806508392,0.9244725786353669
0.22981080723953695,1.499974723907817,0.9309135708807889
0.22964978208412692,1.508186974209054,0.9326848437255916
0.21177598933465278,1.5019070181153877,0.9481432245011311
0.19744474938876763,1.4724395301766862,0.9449227285677086
0.1951903969798684,1.4262254862284933,0.9716528438346714
0.196961673873899,1.4136655706876453,0.9892045448152494
0.20420780652109247,1.3908000821509876,0.9790599838153021
0.20018217729271423,1.3851642220485973,0.973102066887834
0.1945462962887226,1.3584341413498868,0.9644067284705389
0.20710625953446682,1.3547305757752397,0.9495924476606136
0.16813816684639127,1.329127664757503,0.9590929104327016
0.14076388404940302,1.335568648854696,0.9497534724557072
0.10227885902112333,1.3516711085289792,0.9074039485591608
0.04914053241855471,1.3529593052678222,0.8885640444955786
0.007596016451878474,1.3651971740274518,0.8916235161709248
-0.028956720996971986,1.3745365998703207,0.8544267796122351
-0.056653071061977825,1.370833034482584,0.8399345434218216
-0.10640989195096962,1.4033599985923542,0.8259253811489073
-0.1371657300415994,1.4286408545450155,0.7954916816902167
-0.16003132883712776,1.4373361803329903,0.7964578309237287
-0.17661694023968297,1.4344377384300147,0.8106280193478248
-0.2115594447071361,1.372443280308622,0.8370360961051904
-0.24988348619063772,1.3201102868030767,0.8855045727910451
-0.26228244175680654,1.3133472531700916,0.9196418343663743
-0.28997881174422785,1.3033637270690708,0.9787379342544876
-0.3268536335900527,1.2914479051850032,1.0281725380499436
-0.38289048877212817,1.2816254030273004,1.0296217608473917
-0.4196042956796715,1.2930581514115385,1.0326812311760207
-0.4708104017071133,1.2806592552577636,1.050554978301108
-0.47145450372103637,1.2822695015387011,1.0330032806825968
-0.4774124474102493,1.2866171664566766,1.0186720773264701
-0.48031090654173064,1.3196272129769009,0.9763225625380608
-0.542627784109728,1.3072283178548876,0.959575984803419
-0.5431108607266004,1.2957955699780126,0.9718138686186798
-0.5701631524147526,1.2821084769109727,0.9439565797813717
-0.5743498168052991,1.2977278654225706,0.9489483484794304
-0.5778923790239311,1.345230124756763,0.9302694716620705
-0.563883155929799,1.3536034036352933,0.9189977351250087
-0.618631847305923,1.3817827059393684,0.9160992885228508
-0.6745077271023792,1.4523114630785672,0.90869214708718
-0.6756349063322243,1.472600554708346,0.9322017693143433
-0.7207220787192892,1.4870927622245331,0.9632795549547245
-0.6970513124392491,1.512695660558932,0.9426683813950587
-0.7208831043461215,1.5046444348893846,0.9331679181361118
-0.7448759236318697,1.5250945476920506,0.9132008418944897
-0.7384348981470912,1.5068987780973682,0.9323627941181736
-0.7400451545063715,1.5221961065872724,0.943473505387111
-0.7535713082379025,1.5352390913510623,0.9697205464202582
-0.8004297737120226,1.5133397586037054,0.9827635537414011
-0.854051324924071,1.4730836283028368,0.977771785570102
-0.8368215762778776,1.4379802785300728,0.974068215586301
-0.844067732139898,1.4394294994687513,0.9859840492945123
-0.8377877303835305,1.407707661860666,1.0183500278054813
-0.8261938813042287,1.4135045461262172,1.0305879093753798
-0.8199138798913678,1.3956308193023519,1.034291478705663
-0.805260543730792,1.406580489907906,1.052648299971203
-0.7880307976575195,1.368900739480611,1.0632759328543762
-0.7867425923801465,1.3668074198819335,1.0658523286517063
-0.7703179755390416,1.375180698194234,1.0664964275977986
-0.7708010524931657,1.368739714896585,1.041376567739886
-0.7666143855811655,1.3526372560835989,1.0144854335283542
-0.7366636161610575,1.32204258210047,1.0007983284218287
-0.7149251562062412,1.3341194274441601,0.986306098848043
-0.7281292576357983,1.3647141002695224,0.9627964805895903
-0.7424605390601849,1.348128567470348,0.9313966452939785
-0.7261969500761546,1.3526372560835989,0.9082090726397793
-0.7163743868248499,1.3738925015451071,0.9265659011293241
-0.7311887446286292,1.3909611067238785,0.9346171413633044
-0.7519610518119052,1.3850031974727803,0.9180315862605344
-0.7835220792089433,1.4027159003253415,0.9444396541749042
-0.777725155580806,1.4017497529223835,0.9449227285677086
-0.796082080756211,1.4088348338094423,0.9644067284705389
-0.8191087515138331,1.4207506513099721,1.0241469191337307
-0.7967261834126798,1.4366920821346063,1.0457242359332648
-0.7881918233175483,1.4511842912834902,1.0734204911864336
-0.7862595154024415,1.4147927426153633,1.097735224927317
-0.7772420786164391,1.4429720395133427,1.0587672401591515
-0.7658092573350118,1.4284798299911499,1.0510380525338832
-0.7086451569333047,1.4081907355534866,1.0780902084058213
-0.6870677244550306,1.413182497003118,1.0402493944949285
-0.6833641354417974,1.399334384402184,1.0405714439938927
-0.6778892648035995,1.416725037339325,1.0243079438913507
-0.7092892594172747,1.4213947495405592,1.0434698894699936
-0.7247477194139292,1.4286408545450155,1.073098441720516
-0.7584020775635449,1.4432940886063537,1.060377487557593
-0.7952769524374111,1.4505401931130852,1.0595723638593848
-0.8255497785896623,1.4751769472038359,1.03010483511175
-0.8516359395450961,1.4516673649104401,0.9826025289628956
-0.873696460002661,1.417852209256229,1.0210874487235637
-0.8844851822283405,1.43170032105301,1.0452411616924715
-0.8891549277797004,1.4257424125629934,1.0534534236868258
-0.8856123621829073,1.402071802057028,1.052004200997247
-0.9047744220050409,1.368900739480611,1.0412155429908494
-0.8827138994504438,1.3821047550941727,1.0109428887333554
-0.874823639920032,1.397885163281284,1.033486354941854
-0.8434236293901013,1.4141486443714408,1.024629993406348
-0.843745680764841,1.4017497529223835,0.9859840492945123
-0.8261938813042287,1.405614342516655,0.9632795549547245
-0.8028451587124776,1.4207506513099721,0.9742292403690955
-0.7986584913897066,1.4276747072206022,1.0320371321618964
-0.8023620817109578,1.4181742583746124,0.9975778330176474
-0.7690297703315377,1.4184963074926709,0.9834076528546131
-0.7851323357905754,1.4093179075005555,0.9748733394994645
-0.7706400268417116,1.4497350703982488,0.9561944641931062
-0.755825667247641,1.4756600207944215,0.9452447781625071
-0.7746656681518849,1.448446874050281,0.9349391909684576
-0.8005907993781638,1.4329885174686456,0.9378376374002743
-0.7976923373997643,1.4088348338094423,0.9201249087965491
-0.8079979801064715,1.4072245881671137,0.9483042492969528
-0.8018790047101524,1.3916052050146288,0.9503975716352723
-0.7980143887294275,1.3858083203510532,0.9542621666854788
-0.8289313178553005,1.4122163496318676,0.9228623305537906
-0.8311856773851675,1.4102840548805866,0.9193197847458532
-0.8385928588070899,1.367934591975236,0.9598980343834924
-0.8307026003417438,1.3766299194182845,0.9645677532581888
-0.7972092604058648,1.3748586490324401,0.9846958510771525
-0.7653261803882725,1.3701889361498931,1.0019255018056425
-0.7271631038545464,1.3769519685782907,1.0264012657330446
-0.6836861866586704,1.3727653294728541,1.018833102086843
-0.6580831159093862,1.3738925015451071,0.9793820333757928
-0.6518031177306473,1.351349059343456,0.982119454626894
-0.6603374742594547,1.3626207806433772,0.9951624614432633
-0.6311918425066558,1.3766299194182845,0.989848643915512
-0.6237846657912784,1.4135045461262172,0.970203620774954
-0.6118687731674937,1.433954664776957,1.007239319133052
-0.6326410727532604,1.4412007694959676,0.9975778330176474
-0.6134790289020123,1.4717954320492341,0.9518467947845609
-0.612190824313761,1.4571421992980385,0.9379986622012735
-0.5780534045802386,1.454726831197454,0.9255997522876578
-0.527813434873519,1.4342767138790766,0.9120736681986061
-0.5009221722209737,1.4307341737378674,0.8760041078383103
-0.5047867846811018,1.4426499904200067,0.8950050374623495
-0.4767683453845362,1.4151147917368365,0.911751618570483
-0.4780565494372369,1.4312172473958047,0.9041834522164701
-0.48675192692631203,1.4212337249830345,0.9199638839865716
-0.46807296816216054,1.3795283618466352,0.9075649733754462
-0.46340322863861483,1.3840370500161705,0.8755210333416699
-0.4419868378889833,1.3812996322065523,0.8719784870107431
-0.44359709278355924,1.3775960668973273,0.8656985184188561
-0.42137557594228336,1.408995858373228,0.8516893572708586
-0.3962556022104669,1.3727653294728541,0.8049921490267978
-0.3746781904258622,1.3801724601604701,0.7921101593500267
-0.33989669384742033,1.3961138930134644,0.806924447433726
-0.31075109078455104,1.384520123744841,0.8539437050831011
-0.2788680583841885,1.391122131296688,0.8690800399836112
-0.2421542673759716,1.4250983143411882,0.9246336034430795
-0.20093177013914837,1.4434551131527371,0.9140059659605516
